Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913101_1	ERR6913101_1	329134	0	0.0	289373	231	39530	87.99
ERR6913179_1	ERR6913179_1	884598	0	0.0	544588	626	339384	61.63
ERR6913180_1	ERR6913180_1	1117184	0	0.0	693178	771	423235	62.12
ERR6913181_1	ERR6913181_1	1126282	0	0.0	651042	777	474463	57.87
ERR6913182_1	ERR6913182_1	964385	0	0.0	591780	736	371869	61.44
ERR6913197_1	ERR6913197_1	379040	0	0.0	321757	263	57020	84.96
ERR6913275_1	ERR6913275_1	303081	0	0.0	274799	624	27658	90.87
ERR6913276_1	ERR6913276_1	1588974	0	0.0	1458166	1949	128859	91.89
ERR6913277_1	ERR6913277_1	1435382	0	0.0	1305750	1649	127983	91.08
ERR6913278_1	ERR6913278_1	1357364	0	0.0	1186875	1695	168794	87.56
