Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-perccombo	Kraken_mqc-generalstats-kraken-Cutibacterium_acnes	Kraken_mqc-generalstats-kraken-Top_5	Kraken_mqc-generalstats-kraken-Unclassified	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
ERR6913101_1	7.270647627449506	50.0	122.63623934324622	0.0	329134.0	87.99				
ERR6913101_2	7.303588127680854	50.0	122.63501187965996	0.0	329134.0					
ERR6913101_fastq_full_kraken2_report							0.10238990806176208	2.2276641124891383	61.0000789951813	
ERR6913179_1	6.60698678776734	43.0	140.73552054153413	0.0	884598.0	61.63				
ERR6913179_2	6.519263033483952	43.0	140.72699011302308	0.0	884598.0					
ERR6913179_fastq_full_kraken2_report							0.02306132277034314	22.12293041584991	24.032159240694643	
ERR6913180_1	6.725596816742367	45.0	142.38285994070807	0.0	1117184.0	62.12				
ERR6913180_2	6.686965161208718	45.0	142.37363227543537	0.0	1117184.0					
ERR6913180_fastq_full_kraken2_report							0.013426615490375802	14.569936554766269	38.10589840169569	
ERR6913181_1	10.531757799354253	43.0	142.19618177330366	0.0	1126282.0	57.87				
ERR6913181_2	10.375483310488448	43.0	142.19334589383476	0.0	1126282.0					
ERR6913181_fastq_full_kraken2_report							0.06827774926705746	48.226465485553355	13.594463908683615	
ERR6913182_1	5.832608693708636	44.0	138.27722538197918	0.0	964385.0	61.44				
ERR6913182_2	5.724172235495175	44.0	138.26844258257853	0.0	964385.0					
ERR6913182_fastq_full_kraken2_report							0.07932516577922717	8.91728925688392	27.836289448716023	
ERR6913197_1	13.337742744587715	50.0	118.17412937948501	0.0	379040.0	84.96				
ERR6913197_2	13.252448400259226	50.0	118.17042000844238	0.0	379040.0					
ERR6913197_fastq_full_kraken2_report							0.42106373997467283	4.419322498944702	39.141515407344876	
ERR6913275_1	49.323172344020136	48.0	133.0380393360191	10.0	303081.0	90.87				
ERR6913275_2	49.3062929255348	48.0	133.02411896489718	10.0	303081.0					
ERR6913275_fastq_full_kraken2_report							0.8829322854286478	9.670022205285056	10.721556283633749	
ERR6913276_1	35.68121823124265	53.0	119.59745345109486	10.0	1588974.0	91.89				
ERR6913276_2	35.58819140038581	53.0	119.59183095506911	10.0	1588974.0					
ERR6913276_fastq_full_kraken2_report							23.422032078561386	23.91511755384292	42.36463277561496	
ERR6913276_fastq_full_kraken2_report-checkpoint							23.422032078561386	23.91511755384292	42.36463277561496	
ERR6913277_1	51.58502943156204	48.0	131.16257762741904	20.0	1435382.0	91.08				
ERR6913277_2	51.34062069736491	48.0	131.15712054352082	20.0	1435382.0					
ERR6913277_fastq_full_kraken2_report							1.3412457450351196	22.75937694634599	13.555555245920598	
ERR6913278_1	63.618546578076035	50.0	138.3255530572492	10.0	1357364.0	87.56				
ERR6913278_2	63.18192970276884	50.0	138.3173717587913	10.0	1357364.0					
ERR6913278_fastq_full_kraken2_report							0.07838722700764128	4.305256364541862	5.54552794976145	
fastq_full_kraken2_report							0.07838722700764128	4.305256364541862	5.54552794976145	
fastq_one_sample_kraken2_report							23.422032078561386	23.91511755384292	42.36463277561496	
fastq_one_sample_kraken2_report-checkpoint							23.422032078561386	23.91511755384292	42.36463277561496	
mtronstad_bowtie_merged2PhiX										0.0
mtronstad_bowtie_merged2SC2										0.11
