Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	mtronstad_bowtie_merged2PhiX	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/bowtie/mtronstad_bowtie_merged2PhiX.log
Bowtie 2 / HiSAT2	all_sections	mtronstad_bowtie_merged2SC2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/bowtie/mtronstad_bowtie_merged2SC2.log
Kraken	all_sections	ERR6913182_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913182_fastq_full_kraken2_report
Kraken	all_sections	ERR6913101_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913101_fastq_full_kraken2_report
Kraken	all_sections	ERR6913197_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913197_fastq_full_kraken2_report
Kraken	all_sections	ERR6913276_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913276_fastq_full_kraken2_report
Kraken	all_sections	fastq_one_sample_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/fastq_one_sample_kraken2_report
Kraken	all_sections	ERR6913179_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913179_fastq_full_kraken2_report
Kraken	all_sections	ERR6913277_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913277_fastq_full_kraken2_report
Kraken	all_sections	ERR6913275_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913275_fastq_full_kraken2_report
Kraken	all_sections	ERR6913181_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913181_fastq_full_kraken2_report
Kraken	all_sections	ERR6913278_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913278_fastq_full_kraken2_report
Kraken	all_sections	ERR6913180_fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/ERR6913180_fastq_full_kraken2_report
Kraken	all_sections	fastq_full_kraken2_report	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/fastq_full_kraken2_report
Kraken	all_sections	fastq_one_sample_kraken2_report-checkpoint	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/.ipynb_checkpoints/fastq_one_sample_kraken2_report-checkpoint
Kraken	all_sections	ERR6913276_fastq_full_kraken2_report-checkpoint	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/kraken2/.ipynb_checkpoints/ERR6913276_fastq_full_kraken2_report-checkpoint
FastQC	all_sections	ERR6913276_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913276_1_fastqc.zip
FastQC	all_sections	ERR6913197_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913197_1_fastqc.zip
FastQC	all_sections	ERR6913179_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913179_1_fastqc.zip
FastQC	all_sections	ERR6913181_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913181_1_fastqc.zip
FastQC	all_sections	ERR6913275_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913275_2_fastqc.zip
FastQC	all_sections	ERR6913182_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913182_2_fastqc.zip
FastQC	all_sections	ERR6913278_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913278_2_fastqc.zip
FastQC	all_sections	ERR6913180_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913180_2_fastqc.zip
FastQC	all_sections	ERR6913101_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913101_1_fastqc.zip
FastQC	all_sections	ERR6913179_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913179_2_fastqc.zip
FastQC	all_sections	ERR6913181_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913181_2_fastqc.zip
FastQC	all_sections	ERR6913277_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913277_2_fastqc.zip
FastQC	all_sections	ERR6913197_2	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913197_2_fastqc.zip
FastQC	all_sections	ERR6913180_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913180_1_fastqc.zip
FastQC	all_sections	ERR6913275_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913275_1_fastqc.zip
FastQC	all_sections	ERR6913182_1	/shared/ifbstor1/projects/2314_medbioinfo/magnus/MedBioinfo/analyses/fastqc/ERR6913182_1_fastqc.zip
