count viral_genome
   8352 NC_045512.2
   8276 NC_054662.1
   1965 NC_023503.1
   1874 NC_004718.3
   1184 NC_014470.1
    994 NC_018285.1
    677 NC_001405.1
    677 AC_000007.1
    676 AC_000017.1
    676 AC_000008.1
    634 NC_042128.1
    465 NC_029119.1
    447 NC_012753.1
    371 NC_005294.1
    353 NC_049450.1
    330 NC_028890.1
    329 NC_047735.1
    329 NC_018860.1
    325 NC_050152.1
    310 NC_008168.1
    304 NC_012756.1
    286 NC_031941.1
    281 NC_049451.1
    269 NC_005856.1
    262 NC_013197.1
    240 NC_031929.1
    240 NC_007019.1
    239 NC_031913.1
    239 NC_010353.1
    231 NC_031920.1
    225 NC_022791.1
    224 NC_031901.1
    222 NC_031942.1
    220 NC_031910.1
    218 NC_024357.1
    214 NC_024370.1
    212 NC_022776.1
    210 NC_049951.1
    210 NC_030946.1
    209 NC_004303.1
    201 NC_027396.1
    200 NC_031129.1
    200 NC_013598.1
    198 NC_019915.1
    197 NC_049464.1
    192 NC_031907.1
    186 NC_003050.2
    184 NC_024361.1
    183 NC_013645.1
    181 NC_047817.1
    178 NC_027405.1
    178 NC_027403.1
    178 NC_027400.1
    178 NC_027392.1
    174 NC_041955.1
    174 NC_027359.1
    173 NC_027367.1
    173 NC_002166.1
    172 NC_027620.1
    171 NC_027621.1
    170 NC_031923.1
    170 NC_028821.1
    170 NC_027389.1
    170 NC_022341.1
    169 NC_027380.1
    169 NC_022335.1
    169 NC_018849.1
    168 NC_027385.1
    168 NC_015454.1
    168 NC_015453.1
    167 NC_018842.1
    164 NC_031119.1
    164 NC_018852.1
    164 NC_018845.1
    163 NC_048804.1
    163 NC_022338.1
    163 NC_018834.1
    162 NC_028694.1
    162 NC_027376.1
    162 NC_027370.1
    161 NC_027626.1
    161 NC_027401.1
    161 NC_027294.1
    161 NC_018839.1
    160 NC_027629.1
    160 NC_022337.1
    160 NC_018841.1
    160 NC_009541.1
    158 NC_031003.1
    157 NC_027627.1
    156 NC_028967.1
    156 NC_027624.1
    154 NC_031915.1
    154 NC_027357.1
    151 NC_041954.1
    151 NC_027623.2
    151 NC_027362.1
    151 NC_022342.1
    151 NC_018851.1
    150 NC_027981.1
    150 NC_027391.1
    150 NC_018840.1
    150 NC_004996.1
    149 NC_027622.1
    149 NC_027374.1
    147 NC_027354.1
    145 NC_031005.2
    145 NC_023006.1
    144 NC_022334.1
    144 NC_022096.1
    143 NC_020197.1
    142 NC_031906.1
    142 NC_027366.1
    142 NC_027336.1
    141 NC_027333.1
    139 NC_022339.1
    139 NC_002185.1
    138 NC_042057.1
    138 NC_027628.1
    138 NC_027625.1
    137 NC_031023.1
    137 NC_022340.1
    136 NC_004456.1
    136 NC_002214.1
    135 NC_041956.1
    135 NC_027373.1
    132 NC_027361.1
    131 NC_019722.1
    130 NC_027630.1
    123 NC_018847.1
    123 NC_008722.1
    122 NC_041957.1
    122 NC_027347.1
    122 NC_022336.1
    120 NC_049941.1
    120 NC_027346.1
    119 NC_047763.1
    119 NC_031094.1
    119 NC_027386.1
    118 NC_031084.1
    117 NC_031069.1
    116 NC_018838.1
    116 NC_018281.1
    115 NC_027371.1
    113 NC_008723.1
    111 NC_028999.1
    111 NC_002072.2
    108 NC_049453.1
    107 NC_031241.1
    106 NC_048660.1
    106 NC_027295.1
    104 NC_013085.1
    102 NC_055744.1
    102 NC_055719.1
     99 NC_021772.1
     98 NC_021782.1
     98 NC_018284.1
     97 NC_055851.1
     97 NC_055849.1
     97 NC_055848.1
     97 NC_055830.1
     97 NC_048831.1
     90 NC_022749.1
     87 NC_000871.1
     82 NC_019401.1
     82 NC_000872.1
     81 NC_049448.1
     81 NC_019929.1
     78 NC_049415.1
     75 NC_049400.1
     73 NC_049417.1
     72 NC_054965.1
     72 NC_049403.1
     70 NC_043129.1
     70 NC_002670.1
     69 NC_055903.1
     69 NC_049416.1
     68 NC_055847.1
     67 NC_049472.1
     67 NC_049419.1
     67 NC_049411.1
     67 NC_048833.1
     66 NC_049487.1
     66 NC_049420.1
     66 NC_049418.1
     66 NC_049409.1
     66 NC_049370.1
     66 NC_049351.1
     66 NC_001697.1
     65 NC_055036.1
     65 NC_049482.1
     65 NC_049462.1
     65 NC_049347.1
     65 NC_042024.1
     65 NC_016991.1
     65 NC_001835.1
     64 NC_049365.1
     64 NC_031020.1
     64 NC_020490.2
     64 NC_014663.1
     64 NC_013155.1
     64 NC_008371.1
     63 NC_048694.1
     63 NC_048016.1
     62 NC_049421.1
     62 NC_048682.1
     62 NC_048677.1
     62 NC_003315.1
     61 NC_049410.1
     61 NC_049354.1
     61 NC_047901.1
     61 NC_017688.1
     60 NC_049369.1
     60 NC_049358.1
     60 NC_019540.1
     59 NC_049476.1
     59 NC_031010.1
     58 NC_054720.1
     58 NC_054719.1
     58 NC_054718.1
     58 NC_054717.1
     58 NC_054715.1
     58 NC_049422.1
     58 NC_049413.1
     58 NC_049362.1
     58 NC_049355.1
     58 NC_049352.1
     58 NC_041901.1
     58 NC_029044.1
     58 NC_028900.1
     58 NC_023737.1
     58 NC_023733.1
     58 NC_021854.1
     58 NC_021349.1
     58 NC_017698.1
     58 NC_017696.1
     58 NC_011270.1
     58 NC_011269.2
     58 NC_004687.1
     57 NC_054716.1
     57 NC_049475.1
     57 NC_048842.1
     57 NC_047833.1
     57 NC_031080.1
     57 NC_016761.1
     56 NC_054722.1
     56 NC_049412.1
     56 NC_049375.1
     56 NC_021346.1
     56 NC_017695.1
     56 NC_011271.1
     55 NC_049486.1
     55 NC_049483.1
     55 NC_049459.1
     55 NC_049423.1
     55 NC_049381.1
     55 NC_049366.1
     55 NC_049363.1
     55 NC_013154.1
     55 NC_013152.1
     54 NC_049398.1
     54 NC_049377.1
     54 NC_013153.1
     53 NC_049488.1
     53 NC_049484.1
     53 NC_049481.1
     53 NC_049446.1
     53 NC_049424.1
     53 NC_049404.1
     53 NC_049346.1
     53 NC_021855.1
     52 NC_049348.1
     52 NC_048837.1
     52 NC_021860.1
     52 NC_007581.1
     52 NC_001416.1
     51 NC_049454.1
     51 NC_049364.1
     51 NC_049357.1
     51 NC_049356.1
     51 NC_017702.1
     50 NC_055829.1
     50 NC_049414.1
     50 NC_049408.1
     50 NC_049406.1
     50 NC_049353.1
     50 NC_049342.1
     50 NC_047733.1
     50 NC_042095.1
     50 NC_028696.2
     50 NC_021852.1
     50 NC_020486.1
     50 NC_018464.1
     50 NC_001909.1
     49 NC_049955.1
     49 NC_049434.1
     49 NC_049399.1
     49 NC_049368.1
     49 NC_049360.1
     48 NC_049480.1
     48 NC_049373.1
     48 NC_049367.1
     48 NC_048211.1
     48 NC_048086.1
     48 NC_042094.1
     48 NC_035191.1
     48 NC_005340.1
     47 NC_049474.1
     47 NC_049407.1
     47 NC_049349.1
     47 NC_029003.2
     46 NC_049953.1
     46 NC_049447.1
